"outcome","id.exposure","id.outcome","exposure","method","Q","Q_df","Q_pval","outcome_full"
"ga_all","Nk0xbD","ga_all","Endometriosis (Rahmioglu)","MR Egger",417.561,32,"1.09e-68","Gestational age (all)"
"ga_subsamp","Nk0xbD","ga_subsamp","Endometriosis (Rahmioglu)","MR Egger",447.45,32,"9.93e-75","Gestational age (subsample)"
"ga_subsamp","Nk0xbD","ga_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",449.674,33,"1.33e-74","Gestational age (subsample)"
"gdm_subsamp","Nk0xbD","gdm_subsamp","Endometriosis (Rahmioglu)","MR Egger",30.809,31,"0.476","Gestational diabetes (subsample)"
"gdm_subsamp","Nk0xbD","gdm_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",31.407,32,"0.496","Gestational diabetes (subsample)"
"gh_subsamp","Nk0xbD","gh_subsamp","Endometriosis (Rahmioglu)","MR Egger",39.017,31,"0.153","Gestational hypertension (subsample)"
"gh_subsamp","Nk0xbD","gh_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",39.18,32,"0.179","Gestational hypertension (subsample)"
"hbw_all","Nk0xbD","hbw_all","Endometriosis (Rahmioglu)","Inverse variance weighted",55.662,33,"0.008","High birthweight (>4000 g)"
"hbw_all","Nk0xbD","hbw_all","Endometriosis (Rahmioglu)","MR Egger",55.658,32,"0.006","High birthweight (>4000 g)"
"hdp_subsamp","Nk0xbD","hdp_subsamp","Endometriosis (Rahmioglu)","MR Egger",33.344,30,"0.308","Hypertensive disorders of pregnancy (subsample)"
"hdp_subsamp","Nk0xbD","hdp_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",35.945,31,"0.248","Hypertensive disorders of pregnancy (subsample)"
"hyp","Nk0xbD","hyp","Endometriosis (Rahmioglu)","Inverse variance weighted",25.502,32,"0.785","Hyperemesis gravidarum"
"hyp","Nk0xbD","hyp","Endometriosis (Rahmioglu)","MR Egger",24.692,31,"0.781","Hyperemesis gravidarum"
"induction","Nk0xbD","induction","Endometriosis (Rahmioglu)","Inverse variance weighted",114.76,31,"1.52e-11","Induction of labour"
"induction","Nk0xbD","induction","Endometriosis (Rahmioglu)","MR Egger",112.196,30,"2.01e-11","Induction of labour"
"lbw_all","Nk0xbD","lbw_all","Endometriosis (Rahmioglu)","MR Egger",192.223,32,"9.06e-25","Low birthweight (<2500 g)"
"lbw_all","Nk0xbD","lbw_all","Endometriosis (Rahmioglu)","Inverse variance weighted",192.287,33,"2.19e-24","Low birthweight (<2500 g)"
"lga","Nk0xbD","lga","Endometriosis (Rahmioglu)","Inverse variance weighted",77.345,33,"2.02e-05","Large for gestational age"
"lga","Nk0xbD","lga","Endometriosis (Rahmioglu)","MR Egger",77.344,32,"1.27e-05","Large for gestational age"
"lowapgar1","Nk0xbD","lowapgar1","Endometriosis (Rahmioglu)","MR Egger",37.525,28,"0.108","Low Apgar score at 1 min"
"lowapgar1","Nk0xbD","lowapgar1","Endometriosis (Rahmioglu)","Inverse variance weighted",39.369,29,"0.095","Low Apgar score at 1 min"
"lowapgar5","Nk0xbD","lowapgar5","Endometriosis (Rahmioglu)","MR Egger",51.484,32,"0.016","Low Apgar score at 5 min"
